train_acc,train_loss,val_acc,val_loss
0.018757894736842105,4.500108,0.026000000000000002,4.324847
0.03105263157894737,4.26663,0.04,4.230684
0.04071578947368421,4.1629224,0.0548,4.0891557
0.052631578947368425,4.0670323,0.0756,3.9451323
0.06755789473684211,3.9787936,0.06720000000000001,4.0654235
0.07753684210526315,3.9215312,0.09399999999999999,3.8490384
0.08808421052631579,3.8458965,0.09280000000000001,3.7453737
0.09957894736842107,3.7897203,0.09759999999999999,3.8435397
0.10703157894736845,3.7456162,0.11399999999999999,3.6490238
0.11606315789473685,3.6853993,0.13440000000000002,3.6167533
0.12027368421052634,3.656774,0.13080000000000003,3.635378
0.13016842105263157,3.598308,0.1452,3.4928684
0.13966315789473685,3.5465028,0.15,3.4690566
0.1454526315789474,3.5145543,0.1484,3.4577384
0.15633684210526316,3.454556,0.16240000000000002,3.3490684
0.1605473684210526,3.4246428,0.1304,3.5480978
0.16686315789473685,3.3843663,0.18000000000000005,3.3000872
0.17861052631578947,3.3380597,0.18080000000000002,3.2833087
0.18334736842105265,3.307494,0.16599999999999998,3.3475277
0.19023157894736845,3.2716951,0.1996,3.1930299
0.19658947368421054,3.238165,0.19759999999999997,3.2307441
0.19869473684210526,3.2218018,0.19920000000000002,3.2219965
0.20694736842105266,3.1722925,0.22400000000000003,3.0772016
0.21345263157894737,3.1423457,0.2016,3.1981235
0.21673684210526317,3.1204188,0.2376,3.043066
0.22755789473684215,3.0744724,0.2376,3.0210803
0.22576842105263156,3.0692003,0.22640000000000005,3.089753
0.23157894736842105,3.0391283,0.2468,2.9477034
0.23840000000000003,3.0022972,0.22839999999999996,3.0628018
0.24029473684210526,2.9917452,0.2308,3.0643682
0.24591578947368423,2.9652724,0.262,2.891741
0.25113684210526316,2.9411087,0.2292,3.0809028
0.2521684210526316,2.9286358,0.2596,2.8727734
0.2596421052631579,2.8920298,0.2612,2.860949
0.26284210526315793,2.8815937,0.23240000000000002,3.0061855
0.26814736842105263,2.8535388,0.2812,2.7780926
0.2722736842105263,2.8298483,0.25120000000000003,2.958289
0.27284210526315794,2.827359,0.2668,2.8442755
0.2800631578947368,2.796598,0.298,2.7085361
0.28170526315789474,2.7794464,0.26039999999999996,2.9551826
0.2860842105263158,2.7601562,0.2952,2.7024834
0.29084210526315785,2.724995,0.2884,2.7556875
0.2905263157894737,2.7314453,0.2864,2.7374892
0.29913684210526315,2.6980069,0.3144,2.6261542
0.3048421052631579,2.6746397,0.2952,2.7671294
0.30214736842105266,2.678417,0.30000000000000004,2.694506
0.31216842105263154,2.633247,0.33,2.5634122
0.3133684210526315,2.6305096,0.2816,2.8286397
0.3138526315789473,2.6237752,0.31880000000000003,2.6306424
0.31970526315789477,2.5921109,0.3264,2.5977185
0.3174736842105263,2.6025884,0.29,2.730027
0.3245052631578947,2.572139,0.3336,2.5378742
0.328,2.5536892,0.308,2.657544
0.3258315789473684,2.5560656,0.332,2.5932803
0.3362736842105263,2.5128086,0.3408,2.4928217
0.3390947368421052,2.5125606,0.3048,2.6876175
0.33926315789473677,2.5042627,0.3400000000000001,2.494601
0.3443368421052631,2.4715357,0.35,2.434804
0.34378947368421053,2.4817865,0.3152,2.644029
0.3481894736842105,2.4592717,0.35519999999999996,2.4299486
0.3529473684210526,2.4381096,0.3248,2.5927625
0.3499157894736842,2.4422674,0.33759999999999996,2.5099993
0.3589894736842105,2.4129956,0.36200000000000004,2.3862877
0.35936842105263156,2.410198,0.3292,2.5536437
0.3608421052631579,2.398089,0.3528,2.406616
0.3657684210526316,2.3761659,0.35800000000000004,2.406101
0.3622315789473684,2.3871052,0.3348,2.5664566
0.3676421052631579,2.3602452,0.35960000000000003,2.3562124
0.3725473684210526,2.345182,0.34,2.5748594
0.3685052631578947,2.3610768,0.35479999999999995,2.4455776
0.3746947368421053,2.3280997,0.37359999999999993,2.3381624
0.37873684210526315,2.3244548,0.33519999999999994,2.5079489
0.37661052631578945,2.3159714,0.37800000000000006,2.3365571
0.38654736842105264,2.2870822,0.37479999999999997,2.3674326
0.38069473684210525,2.30223,0.33520000000000005,2.5798995
0.3871578947368421,2.2762134,0.38520000000000004,2.2888517
0.38745263157894744,2.271657,0.3468,2.4884486
0.3872631578947368,2.2787368,0.37520000000000003,2.360063
0.3956421052631579,2.2405274,0.3948,2.25919
0.3944421052631579,2.2443135,0.36760000000000004,2.4286213
0.39450526315789475,2.2430248,0.38239999999999996,2.3041003
0.39890526315789476,2.2237837,0.3876,2.2675662
0.39840000000000003,2.2213235,0.3628,2.4123764
0.4008631578947369,2.203622,0.39640000000000003,2.2432683
0.4033263157894737,2.1971996,0.37200000000000005,2.4247506
0.40183157894736843,2.2029774,0.35719999999999996,2.4556057
0.4087157894736842,2.1796486,0.3996,2.208519
0.4098947368421053,2.176986,0.37200000000000005,2.378562
0.4089894736842105,2.1741087,0.40440000000000004,2.244209
0.41673684210526313,2.1428707,0.3924,2.2857938
0.41206315789473685,2.1642926,0.37160000000000004,2.393501
0.4153684210526316,2.1428406,0.41840000000000005,2.1945045
0.41978947368421055,2.1291695,0.374,2.3734925
0.4171789473684211,2.1351542,0.38440000000000013,2.2872136
0.4223368421052631,2.1110594,0.4204,2.1624503
0.4231789473684211,2.1161456,0.3804,2.334754
0.42117894736842104,2.1110206,0.4023999999999999,2.1994066
0.4298947368421052,2.0843158,0.4116,2.2015529
0.42557894736842106,2.09496,0.3832,2.32
0.43315789473684213,2.0756238,0.42239999999999994,2.143609
